,Unnamed: 0,Res.,Ref.,Update,Notes,Status,Dropoff,Day,Dropoff Date,Time,Pickup,Pickup Date,Time_c13,# Days,Category,Vehicle,Colour,Items,Insurance,Departure,Next Rental,RCM_Rego,Pickup Date Time,Dropoff Date Time,CarID,adminfeeamt
24,28,31354,726140525,1,1,Returned,SYD,1,1/08/2024,6:10:00,SYD,30/07/2024,5:30:00,1,Family SUV 7 Seater,5849961,White,1,1,1,1,DH47QN,30/07/2024 5:30:00 PM,1/08/2024 6:10:00 PM,481,2.95
25,29,40248,1,1,1,Returned,SYD,1,1/08/2024,4:35:00,SYD,30/07/2024,5:05:00,1,People Mover 8 Seater,232207818021,White,1,1,1,1,S565CYB,30/07/2024 5:05:00 PM,1/08/2024 4:35:00 PM,827,2.95
26,30,40312,1,1,1,Returned,SYD,1,1/08/2024,6:15:00,SYD,31/07/2024,4:55:00,1,Family SUV 5 Seater,5849952,White,1,1,1,1,DJ70YC,31/07/2024 4:55:00 PM,1/08/2024 6:15:00 PM,631,2.95
27,31,41763,4610299332,1,1,Returned,SYD,1,1/08/2024,6:15:00,SYD,1/08/2024,7:20:00,1,Economy,232207912626,White,1,1,1,1,DK75SG,1/08/2024 7:20:00 AM,1/08/2024 6:15:00 PM,962,2.95
28,32,41551,1,1,1,Returned,SYD,1,1/08/2024,6:20:00,SYD,30/07/2024,8:00:00,1,Economy,232207917823,White,1,1,1,1,DK80HX,30/07/2024 8:00:00 PM,1/08/2024 6:20:00 PM,841,2.95
29,34,36278,IM43880974,1,1,Returned,SYD,1,1/08/2024,6:55:00,SYD,30/07/2024,7:45:00,1,Family SUV 7 Seater,232207812628,White,1,1,1,1,S660CZJ,30/07/2024 7:45:00 PM,1/08/2024 6:55:00 PM,873,2.95
30,35,38094,799408378,1,1,Returned,SYD,1,1/08/2024,7:05:00,SYD,1/08/2024,11:05:00,1,Small SUV,5848196,White,1,1,1,1,S538CVE,1/08/2024 11:05:00 AM,1/08/2024 7:05:00 PM,358,2.95
31,36,41277,1,1,1,Returned,SYD,1,1/08/2024,7:30:00,SYD,1/08/2024,9:30:00,1,Economy,232207910729,White,1,1,1,1,DK82HX,1/08/2024 9:30:00 AM,1/08/2024 7:30:00 PM,842,2.95
32,38,41724,1,1,1,Returned,SYD,1,1/08/2024,8:00:00,SYD,1/08/2024,10:25:00,1,Medium Sedan,5849943,White,1,1,1,1,FEQ30P,1/08/2024 10:25:00 AM,1/08/2024 8:00:00 PM,693,2.95
33,40,41723,1,1,1,Returned,SYD,1,1/08/2024,8:15:00,SYD,1/08/2024,10:25:00,1,Medium Sedan,232207915322,White,1,1,1,1,S247DAF,1/08/2024 10:25:00 AM,1/08/2024 8:15:00 PM,886,2.95
34,41,41462,1,1,1,Returned,SYD,1,1/08/2024,8:20:00,SYD,31/07/2024,8:40:00,1,Small SUV,5848193,White,1,1,1,1,S656CVF,31/07/2024 8:40:00 AM,1/08/2024 8:20:00 PM,344,2.95
35,42,19992,DC-7033987,1,1,Returned,SYD,1,2/08/2024,7:10:00,SYD,29/07/2024,8:20:00,1,Medium SUV,5848162,White,1,1,1,1,S424CSU,29/07/2024 8:20:00 AM,2/08/2024 7:10:00 AM,239,2.95
36,43,41616,1,1,1,Returned,SYD,1,2/08/2024,7:10:00,SYD,31/07/2024,10:30:00,1,Hatchback,5848178,White,1,1,1,1,EZP18R,31/07/2024 10:30:00 AM,2/08/2024 7:10:00 AM,363,2.95
37,44,35524,763379509,1,1,Returned,SYD,1,2/08/2024,7:20:00,SYD,12/07/2024,1:55:00,1,Medium SUV,5848188,White,1,1,1,1,S376CSN,12/07/2024 1:55:00 PM,2/08/2024 7:20:00 AM,67,2.95
