,0
0,15.0
1,1654.0
2,1676.0
3,1679.0
4,1680.0
5,1694.0
6,1724.0
7,1774.0
8,1779.0
9,1780.0
10,1782.0
11,1783.0
12,1784.0
13,1785.0
14,1806.0
15,1807.0
16,1808.0
17,1809.0
18,1810.0
19,1811.0
20,1814.0
21,1848.0
22,1852.0
23,1854.0
24,1855.0
25,1856.0
26,1858.0
27,1859.0
28,1860.0
29,1861.0
30,1862.0
31,1866.0
32,1867.0
33,1868.0
34,1869.0
35,1870.0
36,1871.0
37,1872.0
38,1874.0
39,1875.0
40,1876.0
41,1877.0
42,1882.0
43,1883.0
44,1884.0
45,1886.0
46,1887.0
47,1888.0
48,1889.0
49,1890.0
50,1891.0
51,1893.0
52,1894.0
53,1896.0
54,1897.0
55,1898.0
56,1900.0
57,1901.0
58,1902.0
59,1903.0
60,1904.0
61,1907.0
62,1909.0
63,1910.0
64,1911.0
65,1913.0
66,1914.0
67,1915.0
68,1916.0
69,1918.0
70,1919.0
71,1921.0
72,1922.0
73,1924.0
74,1927.0
75,1929.0
76,1930.0
77,1932.0
78,1934.0
79,1935.0
80,1937.0
81,1938.0
82,1943.0
83,1962.0
84,1966.0
85,2048.0
86,2114.0
87,2222.0
88,2234.0
89,2235.0
90,2252.0
91,2261.0
92,2277.0
93,2335.0
94,2377.0
95,2399.0
96,2434.0
97,2454.0
98,2479.0
99,2520.0
100,2533.0
101,2534.0
102,2537.0
103,2581.0
104,2584.0
105,2665.0
106,2667.0
107,2668.0
108,2711.0
109,2712.0
110,2717.0
111,2718.0
112,2719.0
113,2739.0
114,2806.0
115,2809.0
116,2859.0
117,2872.0
118,2914.0
119,2941.0
120,2997.0
121,3024.0
122,3033.0
123,3054.0
124,3111.0
125,3112.0
126,3113.0
127,3114.0
128,3156.0
129,3158.0
130,3161.0
131,3206.0
132,3222.0
133,3244.0
134,3248.0
135,3277.0
136,3322.0
137,3335.0
138,3336.0
139,3341.0
140,3389.0
141,3449.0
142,3462.0
143,3471.0
144,3472.0
145,3498.0
146,3533.0
147,3544.0
148,3569.0
149,3629.0
150,3667.0
151,3688.0
152,3734.0
153,3735.0
154,3742.0
155,3747.0
156,3771.0
157,3773.0
158,3774.0
159,3780.0
160,3782.0
161,3783.0
162,3784.0
163,3785.0
164,3834.0
165,3835.0
166,3882.0
167,3892.0
168,3894.0
169,3917.0
170,3918.0
171,3920.0
172,3934.0
173,3937.0
174,3959.0
175,3979.0
176,3982.0
177,3984.0
178,3986.0
179,4007.0
180,4024.0
181,4027.0
182,4028.0
183,4035.0
184,4036.0
185,4045.0
186,4046.0
187,4048.0
