,0
405,5170.0
406,5171.0
407,5174.0
408,5177.0
409,5178.0
410,5184.0
411,5185.0
412,5186.0
413,5188.0
414,5191.0
415,5192.0
416,5193.0
417,5207.0
418,5209.0
419,5210.0
420,5211.0
421,5218.0
422,5219.0
423,5220.0
424,5222.0
425,5223.0
426,5224.0
427,5236.0
428,5238.0
429,5239.0
430,5240.0
431,5241.0
432,5242.0
433,5247.0
434,5249.0
435,5250.0
436,5252.0
437,5253.0
438,5255.0
439,5256.0
440,5257.0
441,5258.0
442,5259.0
443,5260.0
444,5261.0
445,5262.0
446,5263.0
447,5264.0
448,5265.0
449,5266.0
450,5267.0
451,5269.0
452,5270.0
453,5275.0
454,5277.0
455,5278.0
456,5279.0
457,5284.0
458,5285.0
459,5287.0
460,5289.0
461,5292.0
462,5293.0
463,5302.0
464,5303.0
465,5318.0
466,5321.0
467,5322.0
468,5325.0
469,5327.0
470,5328.0
471,5329.0
472,5333.0
473,5339.0
474,5340.0
475,5341.0
476,5345.0
477,5346.0
478,5348.0
479,5349.0
480,5350.0
481,5351.0
482,5352.0
483,5353.0
484,5354.0
485,5355.0
486,5356.0
487,5357.0
488,5358.0
489,5359.0
490,5360.0
491,5361.0
492,5373.0
493,5380.0
494,5385.0
495,5388.0
496,5391.0
497,5394.0
498,5398.0
499,5399.0
500,5402.0
501,5403.0
502,5405.0
503,5408.0
504,5409.0
505,5416.0
506,5418.0
507,5419.0
508,5420.0
509,5427.0
510,5430.0
511,5432.0
512,5438.0
513,5439.0
514,5440.0
515,5441.0
516,5444.0
517,5445.0
518,5446.0
519,5453.0
520,5454.0
521,5463.0
522,5464.0
523,5465.0
524,5466.0
525,5473.0
526,5474.0
527,5477.0
528,5479.0
529,5481.0
530,5486.0
531,5488.0
532,5490.0
533,5491.0
534,5492.0
535,5494.0
536,5496.0
537,5513.0
538,5521.0
539,5522.0
540,5523.0
541,5524.0
542,5525.0
543,5530.0
544,5533.0
545,5537.0
546,5542.0
547,5545.0
548,5555.0
549,5556.0
550,5558.0
551,5559.0
552,5560.0
553,5561.0
554,5563.0
555,5567.0
556,5568.0
557,5569.0
558,5571.0
559,5579.0
560,5580.0
561,5581.0
562,5585.0
563,5586.0
564,5591.0
565,5592.0
566,5598.0
567,5607.0
568,5609.0
569,5610.0
570,5611.0
571,5616.0
572,5620.0
573,5621.0
574,5625.0
575,5634.0
576,5639.0
577,5640.0
578,5641.0
579,5644.0
580,5648.0
581,5650.0
582,5651.0
583,5652.0
584,5658.0
585,5659.0
586,5664.0
587,5665.0
588,5667.0
589,5669.0
590,5671.0
591,5677.0
592,5683.0
593,5684.0
594,5694.0
595,5695.0
596,5696.0
597,5697.0
598,5698.0
599,5701.0
600,5705.0
601,5708.0
602,5712.0
603,5715.0
604,5717.0
605,5718.0
606,5719.0
607,5723.0
608,5724.0
609,5726.0
610,5727.0
611,5729.0
612,5730.0
613,5731.0
614,5732.0
615,5733.0
616,5734.0
617,5742.0
618,5743.0
619,5747.0
620,5751.0
621,5752.0
622,5753.0
623,5754.0
624,5756.0
625,5760.0
626,5761.0
627,5762.0
628,5763.0
629,5765.0
630,5767.0
631,5771.0
632,5773.0
633,5784.0
634,5787.0
635,5788.0
636,5789.0
637,5790.0
638,5792.0
639,5793.0
640,5796.0
641,5797.0
642,5807.0
643,5808.0
644,5809.0
645,5810.0
646,5812.0
647,5816.0
648,5823.0
649,5824.0
650,5826.0
651,5828.0
652,5830.0
653,5831.0
654,5832.0
655,5843.0
656,5844.0
657,5845.0
658,5848.0
659,5849.0
660,5850.0
661,5852.0
662,5853.0
663,5854.0
664,5855.0
665,5856.0
666,5857.0
667,5858.0
668,5860.0
669,5861.0
670,5862.0
671,5880.0
672,5881.0
673,5883.0
674,5887.0
675,5889.0
676,5892.0
677,5893.0
678,5905.0
679,5906.0
680,5908.0
681,5914.0
682,5917.0
683,5918.0
684,5919.0
685,5920.0
686,5921.0
687,5923.0
688,5924.0
689,5928.0
690,5929.0
691,5930.0
692,5931.0
693,5934.0
694,5943.0
695,5944.0
696,5945.0
697,5949.0
698,5953.0
699,5957.0
700,5958.0
701,5960.0
702,5961.0
703,5962.0
704,5974.0
705,5975.0
706,5978.0
707,5981.0
708,5982.0
709,5983.0
710,5985.0
711,5986.0
712,5987.0
713,5988.0
714,5989.0
715,5990.0
716,5995.0
717,6007.0
718,6009.0
719,6012.0
720,6020.0
721,6024.0
722,6026.0
723,6032.0
724,6033.0
725,6034.0
726,6035.0
727,6036.0
728,6039.0
729,6040.0
730,6041.0
731,6042.0
732,6044.0
733,6047.0
734,6050.0
735,6068.0
736,6070.0
737,6071.0
738,6075.0
739,6076.0
740,6088.0
741,6089.0
742,6096.0
743,6101.0
744,6102.0
745,6106.0
746,6118.0
747,6119.0
748,6121.0
749,6123.0
750,6124.0
751,6125.0
752,6133.0
753,6134.0
754,6136.0
755,6137.0
756,6138.0
757,6153.0
758,6158.0
759,6159.0
760,6160.0
761,6165.0
762,6169.0
763,6171.0
764,6172.0
765,6173.0
766,6175.0
767,6176.0
768,6183.0
769,6184.0
770,6185.0
771,6186.0
772,6187.0
773,6188.0
774,6189.0
775,6190.0
776,6198.0
777,6200.0
778,6201.0
779,6202.0
780,6203.0
781,6204.0
782,6205.0
783,6210.0
784,6219.0
785,6234.0
786,6240.0
787,6241.0
788,6243.0
789,6259.0
790,6260.0
791,6261.0
792,6262.0
793,6267.0
794,6274.0
795,6275.0
796,6276.0
797,6286.0
798,6287.0
799,6288.0
800,6289.0
801,6291.0
802,6292.0
803,6295.0
804,6298.0
805,6300.0
806,6301.0
807,6308.0
808,6314.0
809,6315.0
810,6316.0
811,6323.0
812,6325.0
813,6327.0
814,6328.0
815,6330.0
816,6331.0
817,6334.0
818,6335.0
819,6340.0
820,6341.0
821,6343.0
822,6353.0
823,6354.0
824,6355.0
825,6356.0
826,6361.0
827,6363.0
828,6372.0
829,6373.0
830,6377.0
831,6378.0
832,6382.0
833,6383.0
834,6384.0
835,6386.0
836,6388.0
837,6389.0
838,6390.0
839,6392.0
840,6410.0
841,6415.0
842,6419.0
843,6421.0
844,6424.0
845,6425.0
846,6427.0
847,6428.0
848,6429.0
849,6430.0
850,6440.0
851,6441.0
852,6442.0
853,6443.0
854,6444.0
855,6446.0
856,6447.0
857,6448.0
858,6449.0
859,6450.0
860,6451.0
861,6452.0
862,6453.0
863,6454.0
864,6455.0
865,6457.0
866,6461.0
867,6485.0
868,6491.0
869,6499.0
870,6504.0
871,6514.0
872,6515.0
873,6517.0
874,6529.0
875,6532.0
876,6533.0
877,6534.0
878,6536.0
879,6537.0
880,6546.0
881,6557.0
882,6560.0
883,6563.0
884,6566.0
885,6567.0
886,6574.0
887,6576.0
888,6584.0
889,6585.0
890,6587.0
891,6589.0
892,6590.0
893,6592.0
894,6593.0
895,6601.0
896,6602.0
897,6612.0
898,6619.0
899,6621.0
900,6622.0
901,6631.0
902,6633.0
903,6636.0
904,6637.0
905,6645.0
906,6646.0
907,6652.0
908,6656.0
909,6657.0
910,6662.0
911,6666.0
912,6682.0
913,6683.0
914,6684.0
915,6686.0
916,6687.0
917,6688.0
918,6689.0
919,6690.0
920,6691.0
921,6694.0
922,6695.0
923,6702.0
924,6724.0
925,6725.0
926,6736.0
927,6737.0
928,6740.0
929,6750.0
930,6753.0
931,6758.0
932,6761.0
933,6778.0
934,6779.0
935,6780.0
936,6787.0
937,6796.0
938,6797.0
939,6798.0
940,6800.0
941,6810.0
942,6811.0
943,6814.0
944,6815.0
945,6816.0
946,6818.0
947,6822.0
948,6823.0
949,6825.0
950,6826.0
951,6827.0
952,6828.0
953,6846.0
954,6848.0
955,6852.0
956,6853.0
957,6854.0
958,6856.0
959,6859.0
960,6860.0
961,6862.0
962,6863.0
963,6866.0
964,6873.0
965,6876.0
966,6878.0
967,6879.0
968,6880.0
969,6883.0
970,6884.0
971,6885.0
972,6888.0
973,6889.0
974,6890.0
975,6893.0
976,6894.0
977,6906.0
978,6913.0
979,6919.0
980,6920.0
981,6921.0
982,6923.0
983,6929.0
984,6930.0
985,6935.0
986,6936.0
987,6937.0
988,6940.0
989,6952.0
990,6955.0
991,6956.0
992,6958.0
993,6959.0
994,6960.0
995,6972.0
996,6980.0
997,6984.0
998,6987.0
999,6988.0
1000,6994.0
1001,6996.0
1002,6997.0
1003,7003.0
1004,7006.0
1005,7007.0
1006,7008.0
1007,7012.0
1008,7017.0
1009,7025.0
1010,7026.0
1011,7027.0
1012,7029.0
1013,7030.0
1014,7040.0
1015,7053.0
1016,7056.0
1017,7057.0
1018,7059.0
1019,7060.0
1020,7061.0
1021,7069.0
1022,7071.0
1023,7073.0
1024,7074.0
1025,7075.0
1026,7077.0
1027,7078.0
1028,7089.0
1029,7091.0
1030,7095.0
1031,7097.0
1032,7099.0
1033,7100.0
1034,7104.0
1035,7107.0
1036,7116.0
1037,7120.0
1038,7124.0
1039,7125.0
1040,7128.0
1041,7129.0
1042,7133.0
1043,7134.0
1044,7136.0
1045,7140.0
1046,7155.0
1047,7168.0
1048,7175.0
1049,7176.0
1050,7177.0
1051,7178.0
1052,7181.0
1053,7184.0
1054,7190.0
1055,7191.0
1056,7193.0
1057,7197.0
1058,7199.0
1059,7200.0
1060,7201.0
1061,7202.0
1062,7203.0
1063,7204.0
1064,7205.0
1065,7206.0
1066,7210.0
1067,7211.0
1068,7228.0
1069,7229.0
1070,7233.0
1071,7235.0
1072,7236.0
1073,7237.0
1074,7244.0
1075,7245.0
1076,7246.0
1077,7248.0
1078,7249.0
1079,7250.0
1080,7251.0
1081,7252.0
1082,7254.0
1083,7277.0
1084,7280.0
1085,7288.0
1086,7289.0
1087,7294.0
1088,7296.0
1089,7301.0
1090,7302.0
1091,7306.0
1092,7311.0
1093,7312.0
1094,7314.0
1095,7315.0
1096,7318.0
1097,7319.0
1098,7331.0
1099,7337.0
1100,7342.0
1101,7346.0
1102,7354.0
1103,7357.0
1104,7366.0
1105,7368.0
1106,7369.0
1107,7370.0
1108,7372.0
1109,7373.0
1110,7376.0
1111,7381.0
1112,7385.0
1113,7386.0
1114,7396.0
1115,7398.0
1116,7400.0
1117,7405.0
1118,7413.0
1119,7416.0
1120,7419.0
1121,7422.0
1122,7423.0
1123,7424.0
1124,7426.0
1125,7428.0
1126,7429.0
1127,7444.0
1128,7451.0
1129,7454.0
1130,7457.0
1131,7458.0
1132,7466.0
1133,7467.0
1134,7480.0
1135,7481.0
1136,7483.0
1137,7485.0
1138,7488.0
1139,7489.0
1140,7490.0
1141,7494.0
1142,7495.0
1143,7506.0
1144,7510.0
1145,7511.0
1146,7512.0
1147,7516.0
1148,7518.0
1149,7522.0
1150,7524.0
1151,7526.0
1152,7528.0
1153,7529.0
1154,7533.0
1155,7534.0
1156,7535.0
1157,7536.0
1158,7540.0
1159,7548.0
1160,7556.0
1161,7558.0
1162,7559.0
1163,7560.0
1164,7570.0
1165,7575.0
1166,7577.0
1167,7580.0
1168,7581.0
1169,7582.0
1170,7594.0
1171,7601.0
1172,7603.0
1173,7605.0
1174,7609.0
1175,7612.0
1176,7613.0
1177,7629.0
1178,7643.0
1179,7645.0
1180,7652.0
1181,7659.0
1182,7674.0
1183,7679.0
1184,7680.0
1185,7683.0
1186,7684.0
1187,7691.0
1188,7692.0
1189,7697.0
1190,7700.0
1191,7708.0
1192,7715.0
1193,7722.0
1194,7726.0
1195,7730.0
1196,7735.0
1197,7739.0
1198,7771.0
1199,7787.0
1200,7789.0
1201,7791.0
1202,7798.0
1203,7800.0
1204,7803.0
1205,7827.0
1206,7828.0
1207,7829.0
1208,7830.0
1209,7844.0
1210,7850.0
1211,7859.0
1212,7860.0
1213,7861.0
1214,7863.0
1215,7873.0
1216,7876.0
1217,7878.0
1218,7880.0
1219,7888.0
1220,7896.0
1221,7897.0
1222,nan
